r0	M_star	flux_peb	M_em_fact	M_init	M_trans	t_trans	t_moon	t_e3
0.5	1.0	200	2.0	4.7736705e-05	3.432821685000682e-05	0.0	3136.078451300883	98.47002321151068
0.5	1.0	200	1.0	2.3868353e-05	3.432821685000682e-05	4.508706319617554	3238.2104836289645	133.14980886242023
0.5	1.0	200	0.5	1.1934176e-05	3.432821685000682e-05	21.74836845896879	3389.735684001518	196.64055768689715
0.5	1.0	200	0.1	2.3868353e-06	3.432821685000682e-05	177.52192375983083	3998.7754158735665	531.8951054201286
0.5	1.0	100	2.0	4.7736705e-05	3.432821685000682e-05	0.0	5846.1222710492	99.56944588265577
0.5	1.0	100	1.0	2.3868353e-05	3.432821685000682e-05	4.523631469607234	5978.585389452277	135.13219667713497
0.5	1.0	100	0.5	1.1934176e-05	3.432821685000682e-05	21.904737172247543	6157.916906131344	200.59026724541505
0.5	1.0	100	0.1	2.3868353e-06	3.432821685000682e-05	182.7408164821378	6853.614949127604	554.6873524617436
0.5	1.0	50	2.0	4.7736705e-05	3.432821685000682e-05	0.0	11149.006549740212	100.13243465690823
0.5	1.0	50	1.0	2.3868353e-05	3.432821685000682e-05	4.531137788536786	11322.855348022227	136.15393326105288
0.5	1.0	50	0.5	1.1934176e-05	3.432821685000682e-05	21.984124646206826	11524.210319495503	202.64692590471995
0.5	1.0	50	0.1	2.3868353e-06	3.432821685000682e-05	185.49548800296068	12255.113833590438	567.0643750293592
0.5	1.0	20	2.0	4.7736705e-05	3.432821685000682e-05	0.0	27091.592628642222	100.47371672345328
0.5	1.0	20	1.0	2.3868353e-05	3.432821685000682e-05	4.535656000014751	27389.494001994077	136.77704222529064
0.5	1.0	20	0.5	1.1934176e-05	3.432821685000682e-05	22.031705985039366	27652.824033196808	203.90901232922073
0.5	1.0	20	0.1	2.3868353e-06	3.432821685000682e-05	187.1968676464379	28442.247460376897	574.8352330166026
0.5	0.7	200	2.0	3.6833566e-05	5.1603844319524364e-05	7.514165716465439	4647.931561423352	188.0351051140807
0.5	0.7	200	1.0	1.8416783e-05	5.1603844319524364e-05	31.924498092924495	4843.018995136234	261.9877696213041
0.5	0.7	200	0.5	9.2083914e-06	5.1603844319524364e-05	81.60330567895312	5123.439509700872	390.81690177605867
0.5	0.7	200	0.1	1.8416783e-06	5.1603844319524364e-05	420.6959927608711	6080.148107578988	1004.4165338473761
0.5	0.7	100	2.0	3.6833566e-05	5.1603844319524364e-05	7.55522557896943	8547.754755773896	192.38524774625125
0.5	0.7	100	1.0	1.8416783e-05	5.1603844319524364e-05	32.21539936914065	8803.969732261927	269.94870453869976
0.5	0.7	100	0.5	9.2083914e-06	5.1603844319524364e-05	82.92198736024821	9157.209921527337	406.69014732940747
0.5	0.7	100	0.1	1.8416783e-06	5.1603844319524364e-05	444.25812639694766	10325.065579773618	1085.9434083311246
0.5	0.7	50	2.0	3.6833566e-05	5.1603844319524364e-05	7.575951741504694	15980.53991729579	194.67530965431777
0.5	0.7	50	1.0	1.8416783e-05	5.1603844319524364e-05	32.363398184664504	16299.672406286503	274.1963928079118
0.5	0.7	50	0.5	9.2083914e-06	5.1603844319524364e-05	83.60071063285983	16711.694799797537	415.3471576122579
0.5	0.7	50	0.1	1.8416783e-06	5.1603844319524364e-05	457.27389769647556	18029.28797729803	1133.6566202175766
0.5	0.7	20	2.0	3.6833566e-05	5.1603844319524364e-05	7.58845062429117	37980.875560843204	196.08883283452312
0.5	0.7	20	1.0	1.8416783e-05	5.1603844319524364e-05	32.45317329948414	38427.95650856858	276.839446166623
0.5	0.7	20	0.5	9.2083914e-06	5.1603844319524364e-05	84.01643700778504	38921.76194086492	420.80259545682594
0.5	0.7	20	0.1	1.8416783e-06	5.1603844319524364e-05	465.53327591966286	40379.56824159065	1165.081583274057
0.5	0.5	200	2.0	2.8836177e-05	7.58028484944263e-05	47.348012687148916	6338.08092827492	368.5689432527661
0.5	0.5	200	1.0	1.4418089e-05	7.58028484944263e-05	107.96626471597982	6665.31946773204	527.7292071948826
0.5	0.5	200	0.5	7.2090443e-06	7.58028484944263e-05	226.43866676116292	7100.557545109387	789.4621863567742
0.5	0.5	200	0.1	1.4418089e-06	7.58028484944263e-05	852.9802603290872	8363.66888439943	1802.0073841045278
0.5	0.5	100	2.0	2.8836177e-05	7.58028484944263e-05	47.89901407911078	11568.321689305843	387.4872148239241
0.5	0.5	100	1.0	1.4418089e-05	7.58028484944263e-05	110.08494412148309	12016.840832180864	563.151062942654
0.5	0.5	100	0.5	7.2090443e-06	7.58028484944263e-05	233.68528182867107	12593.53604884894	860.118428743833
0.5	0.5	100	0.1	1.4418089e-06	7.58028484944263e-05	937.1617839223952	14216.318546994582	2080.3277224136314
0.5	0.5	50	2.0	2.8836177e-05	7.58028484944263e-05	48.179630959668316	21265.95786529185	398.13765606276866
0.5	0.5	50	1.0	1.4418089e-05	7.58028484944263e-05	111.18532575700384	21843.40696784294	583.8808686746283
0.5	0.5	50	0.5	7.2090443e-06	7.58028484944263e-05	237.53542318738113	22557.892245034684	903.7635430348349
0.5	0.5	50	0.1	1.4418089e-06	7.58028484944263e-05	987.3413289872681	24497.1280798139	2272.709857502073
0.5	0.5	20	2.0	2.8836177e-05	7.58028484944263e-05	48.34967365948956	49074.7587220915	404.983108472376
0.5	0.5	20	1.0	1.4418089e-05	7.58028484944263e-05	111.85969773969511	49839.48189885491	597.5470301240739
0.5	0.5	20	0.5	7.2090443e-06	7.58028484944263e-05	239.9241638723745	50715.007954065084	933.6545594695751
0.5	0.5	20	0.1	1.4418089e-06	7.58028484944263e-05	1020.7303640501859	52969.18520378084	2416.8519335650135
0.5	0.3	200	2.0	1.9879528e-05	0.00013590234602698409	283.1390607054059	9279.059414542906	1221.751393516828
0.5	0.3	200	1.0	9.939764e-06	0.00013590234602698409	528.6696541636244	9868.632318506689	1740.7693512066771
0.5	0.3	200	0.5	4.969882e-06	0.00013590234602698409	903.3278777421476	10534.357840216571	2372.839381287576
0.5	0.3	200	0.1	9.939764e-07	0.00013590234602698409	2169.899773483899	12195.583894465799	4014.527324498675
0.5	0.3	100	2.0	1.9879528e-05	0.00013590234602698409	295.0742510833989	16940.39859107947	1520.542624824581
0.5	0.3	100	1.0	9.939764e-06	0.00013590234602698409	562.0576518154691	17772.143946127853	2243.93909100087
0.5	0.3	100	0.5	4.969882e-06	0.00013590234602698409	987.6304492988974	18680.8466663406	3113.685882507162
0.5	0.3	100	0.1	9.939764e-07	0.00013590234602698409	2628.5445284637317	21017.082948962	5445.538816966278
0.5	0.3	50	2.0	1.9879528e-05	0.00013590234602698409	301.5804878613784	30848.536389765122	1801.6530044669312
0.5	0.3	50	1.0	9.939764e-06	0.00013590234602698409	581.0097860133172	31974.317274918027	2757.0889073918106
0.5	0.3	50	0.5	4.969882e-06	0.00013590234602698409	1037.9739395435286	33155.71224151827	3889.296164395911
