r0	M_star	flux_peb	M_em_fact	M_init	M_trans	t_trans	t_moon	t_e3
0.5	1.0	200	2.0	4.7736705e-05	3.432821685000682e-05	0.0	3136.638704882785	98.49210961089273
0.5	1.0	200	1.0	2.3868353e-05	3.432821685000682e-05	4.513786326647116	3238.979877823987	133.2411693527968
0.5	1.0	200	0.5	1.1934176e-05	3.432821685000682e-05	21.824937684579435	3391.2227001697656	197.03444422005566
0.5	1.0	200	0.1	2.3868353e-06	3.432821685000682e-05	183.10779489543063	4016.233890129915	542.4885742294414
0.5	1.0	100	2.0	4.7736705e-05	3.432821685000682e-05	0.0	5847.052242263316	99.58077524444619
0.5	1.0	100	1.0	2.3868353e-05	3.432821685000682e-05	4.5261890725929845	5979.641192610171	135.17948183748683
0.5	1.0	100	0.5	1.1934176e-05	3.432821685000682e-05	21.943679193140635	6159.441692458332	200.79561547754884
0.5	1.0	100	0.1	2.3868353e-06	3.432821685000682e-05	185.67396669143218	6864.4442619819865	560.4149032702112
0.5	1.0	50	2.0	4.7736705e-05	3.432821685000682e-05	0.0	11150.703283995386	100.13815565894278
0.5	1.0	50	1.0	2.3868353e-05	3.432821685000682e-05	4.532421184374182	11324.658908042687	136.17797862422177
0.5	1.0	50	0.5	1.1934176e-05	3.432821685000682e-05	22.0037118748805	11526.22330709227	202.75184739236246
0.5	1.0	50	0.1	2.3868353e-06	3.432821685000682e-05	186.99919291539655	12262.273994092338	570.0442561290116
0.5	1.0	20	2.0	4.7736705e-05	3.432821685000682e-05	0.0	27095.641069271165	100.4760362500075
0.5	1.0	20	1.0	2.3868353e-05	3.432821685000682e-05	4.536170287639718	27393.639505951505	136.78679776238923
0.5	1.0	20	0.5	1.1934176e-05	3.432821685000682e-05	22.03949193573406	27657.171848829395	203.95156870421118
0.5	1.0	20	0.1	2.3868353e-06	3.432821685000682e-05	187.80846040503863	28449.027742682054	576.0571373110964
0.5	0.7	200	2.0	3.6833566e-05	5.1603844319524364e-05	7.525705966945766	4649.360098520001	188.191032839521
0.5	0.7	200	1.0	1.8416783e-05	5.1603844319524364e-05	32.048855220713754	4845.688506427222	262.6075566549648
0.5	0.7	200	0.5	9.2083914e-06	5.1603844319524364e-05	82.42610851676466	5129.749786699841	393.26688681796475
0.5	0.7	200	0.1	1.8416783e-06	5.1603844319524364e-05	451.94527819487666	6148.163028514508	1054.5465894650722
0.5	0.7	100	2.0	3.6833566e-05	5.1603844319524364e-05	7.56106243800216	8549.644417966194	192.46768337222252
0.5	0.7	100	1.0	1.8416783e-05	5.1603844319524364e-05	32.27857539854239	8806.789947746744	270.2787947075873
0.5	0.7	100	0.5	9.2083914e-06	5.1603844319524364e-05	83.34593642183046	9162.438551295538	408.01658068018
0.5	0.7	100	0.1	1.8416783e-06	5.1603844319524364e-05	461.26930826506367	10367.980872989498	1114.4118857755666
0.5	0.7	50	2.0	3.6833566e-05	5.1603844319524364e-05	7.578887045090341	15983.659769185051	194.71770272472068
0.5	0.7	50	1.0	1.8416783e-05	5.1603844319524364e-05	32.39535566853723	16303.44337475955	274.3671898857406
0.5	0.7	50	0.5	9.2083914e-06	5.1603844319524364e-05	83.81698667286328	16716.86467420108	416.03864544459117
0.5	0.7	50	0.1	1.8416783e-06	5.1603844319524364e-05	466.1701869503082	18056.2976720858	1148.931445551615
0.5	0.7	20	2.0	3.6833566e-05	5.1603844319524364e-05	7.589629083883048	37987.74097917535	196.1060738361551
0.5	0.7	20	1.0	1.8416783e-05	5.1603844319524364e-05	32.46604769359365	38435.17270571452	276.9092230441291
0.5	0.7	20	0.5	9.2083914e-06	5.1603844319524364e-05	84.10326212067433	38929.86505209404	421.08686986888335
0.5	0.7	20	0.1	1.8416783e-06	5.1603844319524364e-05	469.1929635284817	40397.919911338824	1171.47218096043
0.5	0.5	200	2.0	2.8836177e-05	7.58028484944263e-05	47.54378379416122	6342.643580403054	369.6421033721189
0.5	0.5	200	1.0	1.4418089e-05	7.58028484944263e-05	109.11279271020449	6675.034523768875	531.5364410241652
0.5	0.5	200	0.5	7.2090443e-06	7.58028484944263e-05	232.17527821587856	7124.7338495063295	803.2228355565086
0.5	0.5	200	0.1	1.4418089e-06	7.58028484944263e-05	984.4788250008007	8578.6970789445	1990.4306641504886
0.5	0.5	100	2.0	2.8836177e-05	7.58028484944263e-05	47.999649636649565	11573.349229836627	388.0878421644957
0.5	0.5	100	1.0	1.4418089e-05	7.58028484944263e-05	110.68116482079985	12025.56017975814	565.3262843776411
0.5	0.5	100	0.5	7.2090443e-06	7.58028484944263e-05	236.72452843858994	12612.1022184718	868.1951927033838
0.5	0.5	100	0.1	1.4418089e-06	7.58028484944263e-05	1012.8807324838502	14357.75277770127	2196.9601148321726
0.5	0.5	50	2.0	2.8836177e-05	7.58028484944263e-05	48.23021297178648	21272.516875615787	398.4570905092183
0.5	0.5	50	1.0	1.4418089e-05	7.58028484944263e-05	111.48952792192225	21852.51336095526	585.0550871465209
0.5	0.5	50	0.5	7.2090443e-06	7.58028484944263e-05	239.10175379219837	22573.171558044407	908.2037157174798
0.5	0.5	50	0.1	1.4418089e-06	7.58028484944263e-05	1028.2690955100234	24586.527013101273	2339.3575761295388
0.5	0.5	20	2.0	2.8836177e-05	7.58028484944263e-05	48.37008223498952	49086.655352038855	405.11603314338225
0.5	0.5	20	1.0	1.4418089e-05	7.58028484944263e-05	111.98334273812424	49852.94493291755	598.0412731798873
0.5	0.5	20	0.5	7.2090443e-06	7.58028484944263e-05	240.56289863641112	50732.36506485724	935.5522311408201
0.5	0.5	20	0.1	1.4418089e-06	7.58028484944263e-05	1037.931357707688	53022.35569426723	2446.161071440419
0.5	0.3	200	2.0	1.9879528e-05	0.00013590234602698409	289.1267851565225	9311.66654446193	1243.013087946661
0.5	0.3	200	1.0	9.939764e-06	0.00013590234602698409	553.2069032346105	9940.940268101638	1799.8756136827762
